Question,Answer
When does the pregnancy countdown begin according to the pregnancy calendar?,The pregnancy countdown begins from the first day of your last menstrual period (LMP). 
How is the due date calculated in the pregnancy calendar?,The due date is calculated as 40 weeks from the first day of your last menstrual period (LMP). 
Why might mothers not realize they are already pregnant in the first two weeks?,"Mothers might not realize they are pregnant because the pregnancy calendar starts counting from the LMP, not from the actual conception date. "
What is HelpMum Africa's plan for mothers during their pregnancy journey?,"HelpMum Africa plans to support mothers throughout their pregnancy journey, from the beginning until the baby is born.  "
What significant event happens in week three of pregnancy?,"In week three, an egg is produced and meets with the partner’s sperm, leading to the official start of pregnancy. "
When is it possible to confirm pregnancy with a test?,It will take a few more weeks before pregnancy can be confirmed with a pregnancy test. 
What early physical sign might indicate pregnancy in week three?,One of the earliest signs of pregnancy might be an improved sense of smell due to rising hormone levels. 
What are the nutritional recommendations during week three of pregnancy?,"It is important to avoid self-medication, tobacco, and alcohol. Mothers can commence folic acid supplementation and should eat a balanced diet with fruits and vegetables. "
What exercise recommendations are given for week three of pregnancy?,Mothers can continue with their normal exercise routine but should avoid overly strenuous activities.  
Why might some women not realize they are pregnant in week four?,Most women might still be expecting their monthly flow and may not recognize the signs of pregnancy. 
What developments are happening in the body during week four of pregnancy?,The body is beginning to form the placenta and amniotic sac. 
What physical symptoms might women experience in week four?,Women might experience slight pressure in their belly and tender breasts. Some might also experience spotting as the baby tries to implant into the womb. 
What should women do if they experience spotting during week four?,"Spotting is normal, but it should not be excessive. If no spotting is experienced, that is also normal. "
What are the nutritional recommendations during week four of pregnancy?,"Women should continue taking folic acid supplementation and iron. They should avoid alcohol, tobacco, recreational drugs, and any medications not prescribed. Eating well, including plenty of fruits and vegetables, and prioritizing adequate rest and sleep are also important. "
What exercise recommendations are given for week four of pregnancy?,"Women can continue with their normal routine, engaging in non-strenuous activities like walking and swimming, which are beneficial for their bodies.  "
What significant milestone is reached in week five of pregnancy?,"By week five, you should have missed your period, and you can officially take a pregnancy test. "
How large is the baby in week five?,The baby is now as big as an orange seed. 
What developments are happening with the baby’s heart and blood vessels in week five?,The baby's heart and blood vessels have started to form. 
When will the baby’s placenta finish forming?,The baby’s placenta will finish forming by the end of the first trimester. 
What symptoms might mothers experience in week five due to pregnancy hormones?,"Mothers might start experiencing tender breasts, nausea, and unusual tiredness. "
What is the importance of rest and sleep during week five?,"Growing a baby is not an easy job, and it is important to get adequate rest and sleep whenever possible. "
What are the nutritional recommendations during week five of pregnancy?,"Continue taking folic acid supplementation and iron. Avoid alcohol, tobacco, recreational drugs, and any non-prescribed medications. Eat a balanced diet with fruits and vegetables and stay hydrated by drinking plenty of fluids. "
What are the exercise recommendations during week five of pregnancy?,Continue with your normal routine if it is not overly strenuous. Low-impact exercises like walking and swimming can ease stress and help you relax. 
What developments are happening with the baby’s head in week six?,"The baby’s head is beginning to take shape, and the cheeks and jaws are also beginning to form. "
"When does the baby’s heart start to pulse, and what might you see during an ultrasound?","The baby’s heart starts to pulse after week five, and you might be able to see the heartbeat during an ultrasound. "
What symptoms might mothers experience in week six?,"Mothers might start feeling pregnant as they experience heartburn, nausea, and frequent urination. "
How many weeks are left until the end of the pregnancy in week six?,There are 34 weeks left to go. 
What are the nutritional recommendations during week six of pregnancy?,"Continue taking folic acid and iron supplementation. Avoid alcohol, tobacco, recreational drugs, and any non-prescribed medications. Eat a balanced diet with fruits and vegetables, stay hydrated by drinking plenty of fluids, and find soothing meals and drinks if battling nausea. "
What are the exercise recommendations during week six of pregnancy?,Continue with your normal routine if it is not overly strenuous. Low-impact exercises like walking and swimming can ease stress and help you relax. 
How much has the baby grown by week seven?,"The baby is now 10,000 times bigger than when it started forming. "
What developments are happening with the baby’s arms and legs in week seven?,The baby’s arms and legs have started developing. 
What common symptoms might mothers experience in week seven?,Mothers might experience morning sickness and start liking some foods and disliking others. 
What is the advice for dealing with changing tastes and appetite in week seven?,Cater to your new tastes and find what suits your appetite. 
"Can mothers see a pregnancy bump in week seven, and what should they know about weight gain?","You cannot see a pregnancy bump yet, but you may have gained a few pounds. If you have lost some weight, do not worry. There is a wide range of what is considered normal weight gain. You can track your weight at home and share the results with your doctor if you have concerns. "
What are the nutritional recommendations during week seven of pregnancy?,"Continue taking folic acid and iron supplementation. Avoid alcohol, tobacco, recreational drugs, and any non-prescribed medications. Eat a balanced diet with fruits and vegetables and stay hydrated by drinking plenty of fluids. "
What are the exercise recommendations during week seven of pregnancy?,Continue with your normal routine if it is not overly strenuous. Low-impact exercises like walking and swimming can ease stress and help you relax.  
What significant milestone is reached in week eight of pregnancy?,Week eight marks the last week of the second month of pregnancy. 
What physical changes might mothers experience in week eight?,Mothers might experience clothes getting a bit tight and bloating. 
How many women experience morning sickness by week eight?,About 75% of women experience morning sickness by week eight. 
What developments are happening with the baby's physical features in week eight?,"The baby's lips, nose, and eyelids are forming. "
